epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,494.882,0.69826,0.09172,0.08395,0.43055,1.09982,0.93236,0.92524,0.95968,0.7088,0.93236,0.92524,0.95968,0.95968,1.0251,0.04071,0.00676,0.55929,1.54005,0.000599787,0.000599787,0.000599787
99,500.81,0.65568,0.07982,0.10593,0.44678,1.11672,0.93155,0.87512,0.95688,0.68643,0.93155,0.87512,0.95688,0.95688,1.03211,0.03965,0.00407,0.67349,1.55219,0.000588784,0.000588784,0.000588784
100,505.355,0.76911,0.09761,0.07804,0.50438,1.14159,0.93124,0.86111,0.97311,0.71136,0.93124,0.86111,0.97311,0.97311,1.00941,0.04447,0.00452,0.67011,1.53009,0.000577782,0.000577782,0.000577782
101,509.918,0.67808,0.0872,0.08712,0.46092,1.07099,0.9728,0.88544,0.98096,0.70484,0.9728,0.88544,0.98096,0.98096,1.0435,0.04356,0.00445,0.52167,1.54543,0.00056678,0.00056678,0.00056678
102,515.762,0.67384,0.0871,0.09621,0.4497,1.07857,0.93188,0.9185,0.9614,0.71119,0.93188,0.9185,0.9614,0.9614,1.00816,0.03442,0.00392,0.55188,1.51692,0.000555778,0.000555778,0.000555778
103,520.34,0.74084,0.07716,0.08496,0.44848,1.11687,0.91501,0.92023,0.95768,0.69775,0.91501,0.92023,0.95768,0.95768,1.01006,0.0401,0.0042,0.57278,1.50428,0.000544776,0.000544776,0.000544776
104,524.92,0.70876,0.09043,0.08305,0.43003,1.10541,0.89063,0.91997,0.9556,0.67915,0.89063,0.91997,0.9556,0.9556,1.02332,0.03599,0.00508,0.5531,1.51186,0.000533773,0.000533773,0.000533773
105,530.791,0.6769,0.07023,0.07972,0.42043,1.11572,0.92133,0.93271,0.95473,0.69417,0.92133,0.93271,0.95473,0.95473,1.04221,0.03485,0.007,0.5186,1.53822,0.000522771,0.000522771,0.000522771
106,535.344,0.7199,0.09195,0.09978,0.43434,1.11456,0.93187,0.91859,0.97554,0.70328,0.93187,0.91859,0.97554,0.97554,1.0308,0.03362,0.0083,0.46133,1.54918,0.000511769,0.000511769,0.000511769
107,540.103,0.62361,0.07183,0.08872,0.3904,1.06428,0.92836,0.94647,0.98079,0.71251,0.92836,0.94647,0.98079,0.98079,1.01092,0.03381,0.00663,0.45762,1.54588,0.000500767,0.000500767,0.000500767
108,545.716,0.67731,0.08865,0.06906,0.44807,1.08028,0.96311,0.93168,0.98578,0.72979,0.96311,0.93168,0.98578,0.98578,1.01303,0.0434,0.01022,0.46361,1.53014,0.000489765,0.000489765,0.000489765
109,550.342,0.70032,0.0716,0.07511,0.43253,1.11543,0.89808,0.97297,0.9813,0.72824,0.89808,0.97297,0.9813,0.9813,0.97345,0.03986,0.00505,0.48895,1.47927,0.000478762,0.000478762,0.000478762
110,555.25,0.67498,0.06682,0.07049,0.44697,1.08289,0.89325,0.96785,0.9747,0.72135,0.89325,0.96785,0.9747,0.9747,0.9668,0.03978,0.00314,0.50525,1.49803,0.00046776,0.00046776,0.00046776
111,560.7,0.6671,0.06329,0.07892,0.413,1.10028,0.92655,0.93168,0.9742,0.7249,0.92655,0.93168,0.9742,0.9742,0.98153,0.04194,0.00282,0.50493,1.51023,0.000456758,0.000456758,0.000456758
112,565.256,0.6769,0.06536,0.06765,0.40308,1.09388,0.90663,0.95318,0.97481,0.72555,0.90663,0.95318,0.97481,0.97481,0.98811,0.03952,0.0033,0.49279,1.52709,0.000445756,0.000445756,0.000445756
113,570.286,0.64304,0.07191,0.07676,0.41424,1.08559,0.88579,0.94143,0.95747,0.71026,0.88579,0.94143,0.95747,0.95747,1.01802,0.03824,0.0035,0.58515,1.56191,0.000434754,0.000434754,0.000434754
